"participant","lexicality","block","environment","order","trial","spelling","button","response","accuracy","previous.accuracy","rt","previous.rt","microsec.error","unix.seconds","unix.microseconds","trial.day","trial.session","order.in.block","order.in.subblock","rt.raw","coltheart.N","OLD20","nletters","nsyl","morphology","flection","synclass","celex.frequency","celex.frequency.lemma","celex.inflectional.entropy","lemma.size","nlemmas","bnc.frequency","bnc.frequency.million","subtlex.frequency","subtlex.frequency.million","subtlex.cd","subtlex.cd.pct","summed.monogram","summed.bigram","summed.trigram","lett.odd","part3"
72,"N",49,"GC3",24478,44918,"illsets",2,"N",1,1,618,371,175,1269259962,343250,278,278,478,78,618,0,2.65,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,781532,50908,4912,9,"0"
72,"N",49,"GC3",24388,55712,"upshides",2,"N",1,1,696,502,10,1269259812,359250,188,188,388,88,696,0,2.95,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,749264,60142,10257,21,"0"
72,"N",49,"GC3",24587,54188,"tommiers",2,"N",1,1,397,524,161,1269260138,265250,387,387,87,87,397,0,2.8,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,780771,65332,8649,20,"0"
72,"N",49,"GC3",24608,35090,"deprire",2,"N",1,1,496,377,153,1269260178,953250,408,408,108,8,496,0,2.7,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,764581,42332,3695,4,"0"
72,"N",5,"GC3",2542,52522,"shigger",2,"N",1,1,671,1593,152,1265027379,687000,842,842,42,42,671,2,1.9,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,702870,42659,6717,19,"0"
72,"N",5,"GC3",2553,32436,"blales",2,"N",1,1,547,481,11,1265027398,15000,853,853,53,53,547,4,1.75,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,667752,68287,10659,2,"0"
72,"N",5,"GC3",2449,34596,"psar",2,"N",1,1,570,671,161,1265027185,734000,749,749,449,49,570,2,1.85,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,564838,23058,545,16,"0"
72,"N",5,"GC3",2534,35340,"disdunge",2,"N",1,1,798,1027,144,1265027364,15000,834,834,34,34,798,0,3.3,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,750617,43871,4228,4,"0"
72,"N",50,"GC3",25145,48408,"rebelves",2,"N",1,1,593,411,10,1269261122,343250,945,945,145,45,593,0,2.65,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,807352,67454,11735,18,"0"
72,"N",50,"GC3",24891,35850,"plebbles",2,"N",1,0,470,435,10,1269260674,515250,691,691,391,91,470,0,2.85,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,736395,69561,11804,16,"0"
72,"N",50,"GC3",25063,41640,"veeps",2,"N",1,1,415,476,11,1269260978,46250,863,863,63,63,415,7,1.65,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,633638,37062,1334,22,"0"
72,"N",51,"GC3",25284,31058,"dottam",2,"N",1,0,444,490,11,1269354107,749250,84,84,284,84,444,0,2.7,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,630582,19148,1379,4,"0"
72,"N",51,"GC3",25580,52630,"stawled",2,"N",1,1,488,419,10,1269354612,734250,380,380,80,80,488,3,1.8,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,707813,51079,10612,19,"0"
72,"N",52,"GC3",26116,51848,"sellbird",2,"N",1,1,638,475,10,1269355512,984250,916,916,116,16,638,0,3.3,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,760709,37679,3021,19,"0"
72,"N",52,"GC3",25785,42334,"titschier",2,"N",1,1,501,633,188,1269354971,109250,585,585,285,85,501,1,2.95,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,858158,56299,7092,20,"0"
72,"N",53,"GC2",26312,52028,"speepers",2,"N",1,0,455,502,10,1269440291,46875,112,112,312,12,455,2,2,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,860906,69687,9560,19,"0"
72,"N",53,"GC2",26209,45624,"poose",2,"N",1,1,435,447,10,1269440108,468875,9,9,209,9,435,8,1.55,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,644863,28630,2356,16,"0"
72,"N",53,"GC2",26446,50060,"seathes",2,"N",1,1,443,573,188,1269440518,249875,246,246,446,46,443,2,1.85,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,801499,78481,12034,19,"0"
72,"N",54,"GC2",27019,54654,"foast",2,"N",1,1,477,458,11,1269441563,577875,819,819,19,19,477,5,1.65,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,606776,26297,3623,6,"0"
72,"N",56,"GC1",28040,30822,"bearkers",2,"N",1,1,477,457,146,1269614190,874625,340,340,40,40,477,0,1.85,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,794496,68338,9372,2,"0"
72,"N",56,"GC1",28104,45306,"beq",2,"N",1,1,281,369,11,1269614298,265625,404,404,104,4,281,6,1.65,3,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,462650,7970,920,2,"0"
72,"N",56,"GC1",27838,39188,"gronge",2,"N",1,1,505,421,157,1269613831,374625,138,138,338,38,505,1,1.95,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,660966,43729,2922,7,"0"
72,"N",56,"GC1",27919,46556,"poned",2,"N",1,1,444,455,11,1269613992,109625,219,219,419,19,444,8,1.4,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,611346,44882,9767,16,"0"
72,"N",57,"GC1",28609,37994,"fourbokes",2,"N",1,1,476,406,146,1269615260,968625,909,909,109,9,476,0,3.55,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,741498,63346,10356,6,"0"
72,"N",57,"GC1",28638,53402,"sunrerned",2,"N",1,1,494,876,148,1269615307,952625,938,938,138,38,494,0,2.9,9,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,884341,66092,9350,19,"0"
72,"N",58,"GC1",28868,42850,"tifelier",2,"N",1,1,487,552,148,1269615805,609625,1168,1168,368,68,487,2,2.65,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,826682,51694,6782,20,"0"
72,"N",58,"GC1",28710,55104,"stosses",2,"N",1,1,479,409,228,1269615532,374625,1010,1010,210,10,479,0,1.95,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,825974,76505,12554,19,"0"
72,"N",6,"GC3",2705,48612,"hicked",1,"W",0,1,NA,580,159,1265111322,999875,5,5,205,5,738,9,1.5,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,600348,35107,9096,8,"0"
72,"N",6,"GC3",3172,32442,"chalve",2,"N",1,1,612,881,179,1265112250,358875,472,472,172,72,612,0,1.9,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,602086,34738,2852,3,"0"
72,"N",7,"GC3",3459,30098,"beety",2,"N",1,0,684,573,11,1265112841,968875,759,759,459,59,684,3,1.8,5,NA,NA,NA,NA,0,0,NA,NA,NA,1,0.01,0,0,0,0,615380,21977,2139,2,"0"
72,"N",8,"GC3",3747,31684,"buhf",2,"N",1,1,591,610,11,1265113431,171875,1047,1047,247,47,591,3,1.85,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,434615,7947,749,2,"0"
72,"N",8,"GC3",3775,33970,"rexing",2,"N",1,1,508,808,10,1265113482,890875,1075,1075,275,75,508,3,1.85,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,649389,55395,20594,18,"0"
72,"N",8,"GC3",3949,40410,"hured",2,"N",1,1,521,537,11,1265113798,218875,1249,1249,449,49,521,4,1.75,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,1,0.0196,1,1e-04,579742,35503,8885,8,"0"
